Link,Name,Benefits,Image,Detail
https://www.card-gorilla.com/card/detail/348,노리체크카드,"['대중교통', '통신', '영화', '푸드', '테마파크', '금융', '편의점', '도서', '유의사항']",https://api6.card-gorilla.com:8080/storage/card/348/card_img/20581/348card.png,"['버스·지하철 10% 청구할인', '이동통신요금 2,500원 환급할인', 'CGV 35% 환급할인', '아웃백, VIPS / 스타벅스 20% 환급할인', '에버랜드·롯데월드 50% 환급할인', '금융수수료 면제 서비스', 'GS25 5% 환급할인', '교보문고 5% 환급할인', '꼭 확인하세요!']"
https://www.card-gorilla.com/card/detail/2626,네이버페이 머니카드,"['해외', '여행/숙박', '적립', '적립', '유의사항']",https://api.card-gorilla.com:8080/storage/card/2626/card_img/31677/2625card_1.png,"['해외 온/오프라인 3% 적립', 'N트래블클럽 업그레이드', '네이버 쇼핑 간편결제 최대 1.5% 적립', '플러스 멤버십 스튜던트 정기결제 10% 적립', '꼭 확인하세요!']"
https://www.card-gorilla.com/card/detail/2570,카드의정석 오하CHECK,"['온라인쇼핑', '간편결제', '생활', '카페', '배달앱', '대중교통', '통신', '해외', '생활', '디지털구독', '공연/전시', '선택형', '유의사항']",https://api.card-gorilla.com:8080/storage/card/2570/card_img/29938/762card.png,"['[오늘 하루 SHOPPING] 온라인 쇼핑  5% 캐시백', '[오늘 하루 SHOPPING] 간편결제 5% 캐시백', '[오늘 하루 SHOPPING] 안경/렌즈 5% 캐시백', '[오늘 하루 EAT] 커피 5% 캐시백', '[오늘 하루 EAT] 배달/주문 5% 캐시백', '[오늘 하루 LIFE] 대중교통(버스/지하철) 5% 캐시백', '[오늘 하루 LIFE] 이동통신 5% 캐시백', '[오늘 하루 LIFE] 해외 5% 캐시백', '[오늘 하루 LIFE] 어학시험 5% 캐시백', '[오늘 하루 PLAY] OTT 5% 캐시백', '[오늘 하루 PLAY] 공연티켓 5% 캐시백', '플레이트 2종 선택', '꼭 확인하세요!']"
https://www.card-gorilla.com/card/detail/2693,K-패스 신한카드 체크,"['대중교통', '간편결제', '생활', '유의사항']",https://api.card-gorilla.com:8080/storage/card/2693/card_img/33495/2692card.png,"['대중교통(버스, 지하철) 이용 시 10% 결제일 할인', '간편결제로 결제 시 2% 결제일 할인', '생활서비스 2% 결제일 할인', '꼭 확인하세요']"
https://www.card-gorilla.com/card/detail/2425,MY 체크카드,"['대중교통', '대중교통', '캐시백', '유의사항']",https://api.card-gorilla.com:8080/storage/card/2425/card_img/27182/2425card.png,"['[K-패스] 매일 대중교통 타고 교통 요금의 최대 53%까지 돌려받아요', '대중교통 혜택 추가 3천원 캐시백', '10가지 영역에서 결제할 때마다 무조건 300원(최대 500원) 캐시백', '꼭 확인하세요!']"
https://www.card-gorilla.com/card/detail/2268,네이버페이 신한카드 체크 S2,"['네이버페이', '적립']",https://api6.card-gorilla.com:8080/storage/card/2268/card_img/20698/2268card.png,"['네이버에서 결제 시 1~2% 적립', '네이버 외 결제 시 0.1% 적립']"
https://www.card-gorilla.com/card/detail/2519,개이득 체크카드,"['할인', '디지털구독', '온라인쇼핑', '디지털구독', '유의사항']",https://api.card-gorilla.com:8080/storage/card/2519/card_img/28824/2519card.png,"['국내 전 가맹점 0.3% 캐시백', 'OTT 30% 캐시백', '패션 30% 캐시백', '멤버십 30% 캐시백', '꼭 확인하세요!']"
https://www.card-gorilla.com/card/detail/362,NH20해봄체크카드,"['선택형', '온라인쇼핑', '생활', '멤버십포인트', '기타', '유의사항']",https://api6.card-gorilla.com:8080/storage/card/362/card_img/20603/362card.png,"['해봄 선택 서비스_여행해봄/놀이해봄 Type 중 택1', '[On-Line 서비스]', '[Off-Line 서비스]', 'GS리테일 POP 서비스', '주요서비스 통합 월 할인한도', '꼭 확인하세요!']"
https://www.card-gorilla.com/card/detail/435,카카오뱅크 프렌즈 체크카드,"['모든가맹점', '생활', '선택형', '유의사항']",https://api6.card-gorilla.com:8080/storage/card/435/card_img/20935/435card.png,"['쓸 때마다 캐시백, 주말엔 2배', '일상 속 혜택이 가득!카카오뱅크 프렌즈 체크카드 캐시백 프로모션 시즌 12', '내 마음에 드는 디자인 선택의 즐거움', '꼭 확인하세요!']"
https://www.card-gorilla.com/card/detail/646,신한카드 Deep Dream 체크(미니언즈),"['적립', '생활', '생활', '주유소', '택시', '적립', '유의사항']",https://api.card-gorilla.com:8080/storage/card/646/card_img/21410/646card.png,"['[모두드림] 국내/외 일시불+할부 이용 가맹점 0.2% 기본 포인트 적립', '[더해드림] 자주 가는 DREAM영역은 기본의 3배 (총 0.6%) 포인트 적립', '[챙겨드림] DREAM영역 중 가장 많이 이용한 영역은 기본의 5배 (총 1.0%) 포인트 자동적립', '주말(토,일) 전 주유소 리터당 40원 적립', '택시 3,6,9번째 1천원 할인', '[반겨드림] 반겨드림 3천 포인트 적립', '꼭 확인하세요!']"
https://www.card-gorilla.com/card/detail/350,직장인보너스체크카드,[],https://api6.card-gorilla.com:8080/storage/card/350/card_img/20594/350card.png,[]
https://www.card-gorilla.com/card/detail/2561,K-패스카드(체크),"['교통', '통신', '유의사항']",https://api.card-gorilla.com:8080/storage/card/2561/card_img/33460/2561card.png,"['[모빌리티 서비스] 버스/지하철 10% 캐시백, 렌터카/카쉐어링/전기차 충전 5% 캐시백', '[라이프 서비스] 이동통신요금/커피전문점/편의점 5% 캐시백', '꼭 확인하세요!']"
https://www.card-gorilla.com/card/detail/360,올바른POINT체크카드,"['모든가맹점', '공항라운지', '은행사', '유의사항']",https://api.card-gorilla.com:8080/storage/card/360/card_img/25852/360card.png,"['적립한도 없이 0.2% ~ 0.7% NH포인트 적립', '국제공항 라운지 무료이용', '전자금융 수수료 면제', '꼭 확인하세요!']"
https://www.card-gorilla.com/card/detail/2700,위비트래블 체크카드,"['수수료우대', '해외', '쇼핑', '푸드', '생활', '유의사항']",https://api.card-gorilla.com:8080/storage/card/2700/card_img/34201/2700card.png,"['해외 수수료 면제 서비스', '해외 5% 캐시백', '쇼핑 5% 캐시백', '푸드 5% 캐시백', '일상 5% 캐시백', '꼭 확인하세요!']"
https://www.card-gorilla.com/card/detail/454,가온 올포인트 체크카드,"['모든가맹점', '카페/디저트', '통신', '편의점', '교통', '대형마트', '주유', '유의사항']",https://api6.card-gorilla.com:8080/storage/card/454/card_img/20970/454card.png,"['국내외 가맹점 0.2% 포인트리 기본 적립', '커피/제과아이스크림 업종 0.2% 포인트리 추가 적립', '이동통신요금 자동이체 시 0.2% 포인트리 추가 적립', 'GS25 편의점 0.2% 포인트리 추가 적립', '대중교통(버스, 지하철), 택시 0.2% 포인트리 추가 적립', '대형마트 0.8% 포인트리 추가 적립', 'GS칼텍스 주유소 0.8% 포인트리 추가 적립', '꼭 확인하세요!']"
https://www.card-gorilla.com/card/detail/2563,K-패스 삼성체크카드,"['대중교통', '통신', '편의점', '영화', '대중교통', '유의사항']",https://api.card-gorilla.com:8080/storage/card/2563/card_img/29688/2563card.png,"['대중교통 10% 캐시백', '이동통신 10% 캐시백', '편의점/커피전문점/제과 1,000원 캐시벡', 'CGV 3,000원 할인', 'K-패스 마일리지', '꼭 확인하세요!']"
https://www.card-gorilla.com/card/detail/2394,트래블로그 체크카드,"['해외이용', '수수료우대', '적립', '선택형', '유의사항']",https://api.card-gorilla.com:8080/storage/card/2394/card_img/25975/2394card.png,"['해외 가맹점 이용수수료 면제', '해외 ATM 인출 수수료 면제', '국내 가맹점 이용 시 0.3% 적립', '플레이트 3종 선택', '꼭 확인하세요!']"
https://www.card-gorilla.com/card/detail/618,신한카드 Hey Young 체크,"['선택형', '대중교통', '통신', '영화', '편의점', '카페', '온라인쇼핑', '간편결제', '해외', '유의사항']",https://api6.card-gorilla.com:8080/storage/card/618/card_img/21385/618card.png,"['플레이트 디자인 선택 가능', '대중교통 이용금액 5% 캐시백', '이동통신요금 자동이체 시 2천원 캐시백', 'CGV 영화 예매 5천원 캐시백', 'GS25 편의점 1천원 캐시백', '스타벅스 커피 1천원 캐시백(사이렌오더, FAN사이렌 오더 포함)', '쿠팡 1천원 캐시백', '간편결제(Pay)로 국내 이용 시 1% 캐시백', '해외 전 가맹점(온라인포함) 1.2% 캐시백해외인출 1건 당 US $3 캐시백 제공', '꼭 확인하세요!']"
https://www.card-gorilla.com/card/detail/2556,K-패스체크카드,"['적립', '유의사항']",https://api.card-gorilla.com:8080/storage/card/2556/card_img/33457/2556card.png,"['포인트리 적립 서비스', '꼭 확인하세요!']"
https://www.card-gorilla.com/card/detail/2620,NH 무럭이 체크카드,[],https://api.card-gorilla.com:8080/storage/card/2620/card_img/31489/2620card.png,[]
https://www.card-gorilla.com/card/detail/407,현대카드M CHECK,"['적립', '유의사항']",https://api.card-gorilla.com:8080/storage/card/407/card_img/28394/407card.png,"['업종·이용금액별 기본 M포인트 적립에 추가 M포인트 적립', '꼭 확인하세요!']"
https://www.card-gorilla.com/card/detail/2001,꿀카드,"['디지털구독', '디지털구독', '음원사이트', '간편결제', '온라인쇼핑', '배달앱', '수수료우대', '유의사항']",https://api6.card-gorilla.com:8080/storage/card/2001/card_img/21997/2001card.png,"['쿠팡 로켓와우 멤버십 최대 2,900원 할인', 'OTT 서비스 2천원 할인', '음원 스트리밍 1천원 할인', 'UNTACT 결제 1천원 할인(간편결제)', 'UNTACT 결제 1천원 할인(쇼핑)', 'UNTACT 결제 1천원 할인(배달앱)', '해외이용 수수료 면제', '꼭 확인하세요!']"
https://www.card-gorilla.com/card/detail/2740,트래블GO 체크카드,"['해외이용', '적립', '유의사항']",https://d1c5n4ri2guedi.cloudfront.net/card/2740/card_img/36648/2740card_1.png,"['해외 가맹점 이용 수수료 면제 · 해외 ATM 인출 수수료 면제', '국내 가맹점 하나머니 적립 서비스', '꼭 확인하세요!']"
https://www.card-gorilla.com/card/detail/2604,토심이 첵첵 체크카드,[],https://api.card-gorilla.com:8080/storage/card/2604/card_img/31223/2604card.png,[]
https://www.card-gorilla.com/card/detail/2639,카드의정석 DON CHECK,"['푸드', '쇼핑', '게임', '유의사항']",https://api.card-gorilla.com:8080/storage/card/2639/card_img/31958/2639card.png,"['[DO EAT] 편의점, 배달의민족 5% 적립', '[DO BUY] 쿠팡, 무신사 5% 적립', '[DO PLAY] 구글 Play스토어, 애플 APP Store 5% 적립', '꼭 확인하세요!']"
https://www.card-gorilla.com/card/detail/2562,K-패스(체크),"['대중교통', '카페', '온라인쇼핑', '편의점', '영화', '테마파크', '금융', '유의사항']",https://api.card-gorilla.com:8080/storage/card/2562/card_img/33444/2526card.png,"['대중교통 건당 100원 할인', '커피 10% 할인', '쇼핑 10% 할인', '편의점 5% 할인', '영화 4천원 할인', '놀이공원 본인 무료입장 또는 자유이용권 최대 50% 할인', '금융우대서비스', '꼭 확인하세요!']"
https://www.card-gorilla.com/card/detail/739,나라사랑체크카드,"['기타', '쇼핑', '대중교통', '영화/문화', '교육/육아', '통신', '쇼핑', '유의사항']",https://api6.card-gorilla.com:8080/storage/card/739/card_img/22213/739card.png,"['군마트(P.X) 및 GS25 해군마트 환급할인군 KT공중전화 할인', 'GS리테일 팝서비스', '대중교통(전국 버스/지하철) 20% 청구할인', 'CGV 35% / 스타벅스 20% / 아웃백, VIPS 20%/ 에버랜드, 롯데월드 현장예매 50% 환급할인', '교보문고 5% 환급할인TOEIC, JPT 응시료 2,000원 환급할인', '이동통신 자동납부 2,500원 환급할인', 'GS홈쇼핑, CJ홈쇼핑, G마켓, 옥션 5% 환급할인', '꼭 확인하세요!']"
https://www.card-gorilla.com/card/detail/2588,스타플러스 체크카드,"['카페', '게임', '공연/전시', '드럭스토어', '편의점', '디지털구독', '배달앱', '통신', '영화', '테마파크', '해외이용', '공항라운지', '유의사항']",https://api.card-gorilla.com:8080/storage/card/2588/card_img/30834/2588card.png,"['스타벅스, 커피빈 10% 할인', '구글플레이스토어, 앱스토어 10% 할인', '인터파크 티켓 10% 할인', '올리브영, 미용실 업종 5% 할인', 'GS25, CU 5% 할인', '넷플릭스, 유튜브프리미엄 1,000원 할인', '배달의 민족, 요기요 1,000원 할인', 'SKT, KT, LG U+, Liiv M 2,500원 할인', 'CGV 4,000원 할인', '에버랜드, 롯데월드 15,000원 할인', '해외 가맹점 2% 할인', '공항라운지 더라운지멤버스', '꼭 확인하세요!']"
https://www.card-gorilla.com/card/detail/528,라이언 치즈 체크카드,"['카페', '편의점', '영화', '온라인쇼핑', 'APP', '교통', '해외', '도서', '생활', '기타', '공항라운지', '유의사항']",https://api6.card-gorilla.com:8080/storage/card/528/card_img/21216/528card.png,"['커피. 월~금 0.5% / 토,일 1% NH포인트 적립', '편의점. 월~금 0.5% / 토,일 1% NH포인트 적립', '영화. 월~금 0.5% / 토,일 1% NH포인트 적립', '온라인쇼핑. 월~금 0.5% / 토,일 1% NH포인트 적립', '배달앱. 월~금 0.5% / 토,일 1% NH포인트 적립', '교통. 요일관계없이 1.5% NH포인트 적립', '해외. 요일관계없이 1.5% NH포인트 적립', '서점. 요일관계없이 1.5% NH포인트 적립', '자기계발, 공연·전시, H&B. 요일관계없이 1.5% NH포인트 적립', '유튜브, 넷플릭스, 유료 어플리케이션 결제 5% NH포인트 적립', '국제공항 라운지 무료이용 서비스', '꼭 확인하세요!']"
